DATE,Liczba_wypozyczen,PRCP,SNOW,AWND,TMAX,TMIN
2024-01-01,47278,0.03,0.0,3.36,47,35
2024-01-02,68149,0.0,0.0,4.03,42,29
2024-01-03,76559,0.0,0.0,4.92,43,34
2024-01-04,77481,0.0,0.0,7.61,45,28
2024-01-05,72462,0.0,0.0,7.16,37,26
2024-01-06,43303,0.41,0.2,6.93,38,31
2024-01-07,35678,0.24,0.0,7.61,38,34
2024-01-08,78486,0.0,0.0,5.14,45,36
2024-01-09,43043,1.73,0.0,6.49,57,36
2024-01-10,81677,0.22,0.0,8.5,57,44
2024-01-11,89191,0.0,0.0,6.93,47,41
2024-01-12,86113,0.08,0.0,6.93,50,40
2024-01-13,63877,0.81,0.0,9.62,60,35
2024-01-14,48901,0.0,0.0,8.28,44,26
2024-01-15,45568,0.04,0.4,5.14,29,23
2024-01-16,27367,0.28,1.3,9.17,32,22
2024-01-17,42792,0.0,0.0,8.28,24,17
2024-01-18,55542,0.0,0.0,6.04,34,22
2024-01-19,44055,0.04,0.4,7.38,32,26
2024-01-20,37219,0.0,0.0,10.74,26,18
2024-01-21,36317,0.0,0.0,9.17,31,20
2024-01-22,61067,0.0,0.0,7.16,38,25
2024-01-23,70660,0.05,0.0,4.92,40,34
2024-01-24,65912,0.05,0.0,,48,38
2024-01-25,74927,0.24,0.0,4.25,59,46
2024-01-26,72363,0.19,0.0,5.59,46,42
2024-01-27,80215,0.0,0.0,,49,43
2024-01-28,29745,0.82,0.0,9.4,44,37
2024-01-29,70788,0.05,0.0,7.61,40,36
2024-01-30,78298,0.0,0.0,4.7,38,35
2024-01-31,82875,0.0,0.0,3.58,40,34
2024-02-01,87684,0.0,0.0,3.8,46,37
2024-02-02,68657,0.32,0.0,5.82,46,38
2024-02-03,72406,0.0,0.0,8.28,43,32
2024-02-04,66355,0.0,0.0,5.14,46,31
2024-02-05,77096,0.0,0.0,7.38,45,32
2024-02-06,82089,0.0,0.0,6.71,42,29
2024-02-07,89675,0.0,0.0,4.25,48,33
2024-02-08,94956,0.0,0.0,3.13,53,37
2024-02-09,97180,0.0,0.0,4.25,55,43
2024-02-10,94613,0.0,0.0,3.13,60,47
2024-02-11,77021,0.0,0.0,5.82,56,43
2024-02-12,83782,0.0,0.0,4.25,48,37
2024-02-13,32027,0.77,3.2,8.5,41,33
2024-02-14,70914,0.0,0.0,11.41,38,29
2024-02-15,75489,0.0,0.0,6.04,39,27
2024-02-16,75525,0.0,0.0,8.28,43,36
2024-02-17,38120,0.18,2.0,7.61,36,27
